TagStatus,Rev,TagNo,PIDNo,Service,InstrumentType,LineSize,LineSpec,FluidName,FluidState,OPMax,OPNor,OPMin,OTMax,OTNor,OTMin,DesignPressInt,DesignPressExt,DesignTempHot,DesignTempCold,FlowMax,FlowNor,FlowMin,MaxAllowDP,Density,Viscosity,MolWeight,CpCv,CompFactorZ,CriticalPress,VaporPress,Flash,ShutOffDP,FailPosition,Remark,FlowUOM,PressUOM,TempUOM,InstRemark1,InstRemark2
,,LV-3330,YIP3-3002,NPA FRACTION TO EA-3333,GLOBE,"1""",BB55C1,PDI ,L,-,6.4,-,-,117,-,8.9,-,160,-,724,603,300,4.6,822.7,0.24,-,-,-,-,3.08,-,-,FC,,kg/h,,,,
,,LV-3351A,YIP3-3003,EA-3351A OUTLET,GLOBE,"4""",BB55C1,PDI ,L,-,1.5,-,-,104,-,4,-,120,-,21.1,17.6,12.32,0.1,715.2,0.3,-,-,-,-,2.53,0.56,-,FC," - Outlet Condition :
   Vapor = MW : 46.97 Viscosity : 0.011 Cp/Cv : 1.12
   Liquid =  Density : 716.9 Viscosity : 0.304",,,,,
,,LV-3351B,YIP3-3003,EA-3351B OUTLET,GLOBE,"4""",BB55C1,PDI ,L,-,1.5,-,-,104,-,4,-,120,-,21.1,17.6,12.32,0.1,715.2,0.3,-,-,-,-,2.53,0.56,-,FC," - Outlet Condition :
   Vapor = MW : 46.97 Viscosity : 0.011 Cp/Cv : 1.12
   Liquid =  Density : 716.9 Viscosity : 0.304",,,,,
,,LV-3360,YIP3-3006,GA-3363A/B DISCHARGE,GLOBE,"1""",BB55C1,PPW,L,-,6.4,-,-,111,-,8.4,-,140,-,1.6,1.076431014,0.753501709,1,906.7,0.25,-,-,-,-,1.47,-,-,FC,,,,,,
,,LV-3415,YIP3-4001,PPR TO FA-3415,GLOBE,"2""",BA8A,PPR,L,-,17,-,-,31,-,25,-,65,-15,12.72222222,10.60082305,7.419753086,0.7,486,0.09,-,-,-,-,15.21,-,-,FC,Apply BB59C1 piping spec. for LV-3415,,,,,
,,LV-3510,YIP3-8025,WR TO WATER SEAL,GLBOE,"2""",BB55C,WR,L,-,5,-,-,25,-,7,-,60,-,5.013033888,0.07161477,0.050130339,0.7,997.4,0.89,-,-,-,-,0.03,-,-,FO,To be confirmed by vendor.,,,,,
,,LV-3812A,YIP3-8011,CL TO FA-3815 INLET,GLOBE,"4""",BB55C,CL,L,-,2,-,126.5,110.2,-,6,-,200,-,26.2,3.949721258,2.764804881,0.5,950.7,0.25,-,-,-,-,1.47,-,-,FC,,,,,,
,,LV-3812B,YIP3-8011,CL FROM GA-3812 A/B,GLOBE,"2""",BB55C,CL,L,-,6.2,-,-,148,-,9,-,200,-,7.5,5.760500544,4.032350381,1.01,919,0.19,,,,,4.53,,,FO,- Flowrate to be confirmed by Pump Vendor,,,,,
,,LV-3815,YIP3-8011,GA-3815A/B DISCHARGE.,GLOBE,"3""",BB55C,CL,L,-,12.3,-,-,100,-,15.5,-,150,-,32.4,25,17.5,0.7,958.8,0.28,-,-,-,-,1.03,-,-,FC,,,,,,
,,LV-3820,D-G-1-8012,RAW WATER TO EF-820,GLOBE,"6""",BB55C,WR,L,-,4,-,-,AMB,-,8,-,60,-,100,83.33333333,58.33333333,0.7,998.4,1,-,-,-,-,0.02,-,-,FC,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
del,,PRV-3134A,YIP3-0005,Sampling to EA-3134,"PRESSURE 
REGULATING VALVE","1""",FF59C,PDI ,L,-,1.5,-,-,115,-,55,-,250,-,240,200,140,0.5,859,0.24,42.8,1.33,0.73,-,32.53,,-,-,"(*) Inlet Mass Vapor Fraction 4.2%
- Outlet Condition :
   Vapor = MW : 33.5, Viscosity : 0.012, Cp/Cv : 1.18
   Liquid =  Density : 880.1, Viscosity : 0.266",kg/h,,,,
del,,PRV-3134B,YIP3-0005,Sampling to EA-3134,"PRESSURE 
REGULATING VALVE","1""",FF59C,PDI ,L,-,1.5,-,-,115,-,55,-,250,-,240,200,140,0.5,859,0.24,42.8,1.33,0.73,-,32.53,,-,-,"(*) Inlet Mass Vapor Fraction 4.2%
- Outlet Condition :
   Vapor = MW : 33.5, Viscosity : 0.012, Cp/Cv : 1.18
   Liquid =  Density : 880.1, Viscosity : 0.266",kg/h,,,,
,,PRV-3318,YIP3-3001,N2 TO EA-3317,"PRESSURE 
REGULATING VALVE","1""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,40,33.33333333,23.33333333,6.99,8.8,0.02,28,1.41,1,-,-,-,-,-,,,,,,
,,PRV-3327,YIP3-3003,N2 TO EA-3327,"PRESSURE 
REGULATING VALVE","1""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,40,33.33333333,23.33333333,6.99,8.8,0.02,28,1.41,1,-,-,-,-,-,,,,,,
,,PRV-3345,YIP3-3003,N2 TO EA-3345,"PRESSURE 
REGULATING VALVE","1""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,40,33.33333333,23.33333333,6.995,8.8,0.02,28,1.41,1,-,-,-,-,-,,,,,,
,,PRV-3357,YIP3-3005,N2 TO EA-3357,"PRESSURE 
REGULATING VALVE","1""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,40,33.33333333,23.33333333,6.99,8.8,0.02,28,1.41,1,-,-,-,-,-,,,,,,
,,PRV-3371,YIP3-3007,"N2 TO FA-3371, FA-3373A/B/C","PRESSURE 
REGULATING VALVE","2""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,68,56.66666667,39.66666667,5,8.8,0.02,28,1.41,1,-,-,-,-,-,,,,,,
,,PRV-3374,YIP3-3007,N2 TO FA-3374,"PRESSURE 
REGULATING VALVE","1""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,10.1,8.416666667,5.891666667,6.99,8.8,0.02,28,1.41,1,-,-,-,-,-,,,,,,
,,PRV-3381,YIP3-3007,N2 TO FA-3371,"PRESSURE 
REGULATING VALVE","1 1/2""",BB55C,NL,V,-,2,-,-,AMB,-,9,-,60,-,13.2,11,7.7,1.97,3.4,0.02,28,1.41,1,-,-,-,-,-,,,,,,
del,,PRV-3513,YIP3-8025,PRG TO FLARE HEADER,GLBOE,"1""",BB55C1,PRG,V,-,5.5,-,-,27,-,7.5,-,120,-,8.2,4.2,2.94,0.2,12.11,0.01,42.65,1.2,0.9,-,-,-,-,-,Deleted,,,,,
,,PRV-3422,YIP3-4002,N2 TO FB-3420A/B,"PRESSURE 
REGULATING VALVE","2""",BB55C,NL,V,-,7,-,-,AMB,-,9,-,60,-,171.4,142.8333333,99.98333333,5,8.8,0.02,28,1.41,1,-,-,-,-,-,,,,,,
,,PRV-3423,YIP3-4002,N2 TO FA-3781A,"PRESSURE 
REGULATING VALVE","1""",BB55C,NL,V,-,2,-,-,AMB,-,9,-,60,-,36,30,21,1.95,3.4,0.02,28,1.41,1,-,-,-,-,-,,,,,,
